No,Species,Nomenclature,C(cm),DBH(cm),S(m2),Latitude,Longitude,Code
215,Còng tía,Calophyllum saigonense,53.5,17.03,0.022774109,14.5000226,108.5757173,A20
216,Còng tía,Calophyllum saigonense,72,22.92,0.041247613,14.4993785,108.5756979,A20
217,Còng tía,Calophyllum saigonense,81.6,25.97,0.052980267,14.5000132,108.5756936,A20
218,Còng tía,Calophyllum saigonense,92.5,29.44,0.068079647,14.4999906,108.5756907,A20
219,Còng tía,Calophyllum saigonense,87.7,27.91,0.061197406,14.4994921,108.5756901,A20
220,Còng tía,Calophyllum saigonense,61.8,19.67,0.030388606,14.4999386,108.5756893,A20
221,Còng tía,Calophyllum saigonense,45.7,14.54,0.016617521,14.4999386,108.5756893,A20
222,Còng tía,Calophyllum saigonense,57,18.14,0.025851369,14.4998376,108.5756747,A20
223,Còng tía,Calophyllum saigonense,61,19.41,0.029606938,14.4999771,108.5756499,A20
224,Còng tía,Calophyllum saigonense,86.5,27.53,0.059534134,14.4996669,108.5756498,A20
225,Còng tía,Calophyllum saigonense,75,23.87,0.044756525,14.499847,108.5756481,A20
226,Còng tía,Calophyllum saigonense,68,21.64,0.036791852,14.499943,108.5756478,A20
227,Còng tía,Calophyllum saigonense,74.8,23.81,0.044518141,14.4999863,108.5756462,A20
228,Còng tía,Calophyllum saigonense,80,25.46,0.050922979,14.4998395,108.5756456,A20
229,Còng tía,Calophyllum saigonense,60.8,19.35,0.029413113,14.4997019,108.5756371,A20
230,Còng tía,Calophyllum saigonense,48.5,15.44,0.018716184,14.4994314,108.575623,A20
231,Còng tía,Calophyllum saigonense,67.7,21.55,0.036467934,14.4997121,108.5755998,A20
232,Còng tía,Calophyllum saigonense,145.5,46.31,0.168445656,14.5000483,108.5755948,A20
233,Còng tía,Calophyllum saigonense,59.5,18.94,0.028168762,14.5001336,108.57558,A20
234,Còng tía,Calophyllum saigonense,53,16.87,0.022350414,14.4992555,108.5755647,A20
235,Còng tía,Calophyllum saigonense,76,24.19,0.045957989,14.4997533,108.5755613,A20
236,Còng tía,Calophyllum saigonense,90.5,28.8,0.065167489,14.4996565,108.5755587,A20
237,Còng tía,Calophyllum saigonense,81,25.78,0.05220401,14.4998983,108.5755556,A20
238,Còng tía,Calophyllum saigonense,76,24.19,0.045957989,14.4997781,108.5755552,A20
239,Còng tía,Calophyllum saigonense,58.8,18.71,0.027509866,14.4998333,108.5755495,A20
240,Còng tía,Calophyllum saigonense,89,28.33,0.063025143,14.4996052,108.5755352,A20
241,Còng tía,Calophyllum saigonense,73,23.23,0.042401337,14.4996199,108.5755164,A20
242,Còng tía,Calophyllum saigonense,35,11.14,0.009746976,14.4993533,108.5754748,A20
243,Đa hương,Polyosma Sp,41.4,13.18,0.013637492,14.499278,108.576399,A21
244,Đa hương,Polyosma Sp,35.4,11.27,0.009971038,14.499314,108.576393,A21
245,Đa hương,Polyosma Sp,45.5,14.48,0.01647239,14.499397,108.576386,A21
246,Đa hương,Polyosma Sp,70.2,22.34,0.039211012,14.499309,108.575835,A21
247,Đa hương,Polyosma Sp,52.5,16.71,0.021930697,14.499198,108.575825,A21
248,Đa hương,Polyosma Sp,86.4,27.5,0.059396563,14.499343,108.575768,A21
249,Đa hương,Polyosma Sp,82.8,26.35,0.054549968,14.49921,108.575756,A21
250,Đa hương,Polyosma Sp,40,12.73,0.012730745,14.499597,108.576255,A21
251,Đa hương,Polyosma Sp,31.5,10.03,0.007895051,14.499919,108.57623,A21
252,Đa hương,Polyosma Sp,70,22.28,0.038987906,14.499396,108.576207,A21
253,Đa hương,Polyosma Sp,51.2,16.3,0.020858052,14.499424,108.576147,A21
254,Đa hương,Polyosma Sp,63.9,20.34,0.03248894,14.49938,108.576135,A21
255,Đa hương,Polyosma Sp,68,21.64,0.036791852,14.499363,108.576112,A21
256,Đa hương,Polyosma Sp,45,14.32,0.016112349,14.499464,108.576081,A21
257,Đa hương,Polyosma Sp,44.6,14.19,0.01582718,14.499228,108.576055,A21
258,Đa hương,Polyosma Sp,85.6,27.24,0.058301719,14.499517,108.576044,A21
259,Đa hương,Polyosma Sp,81.5,25.94,0.052850493,14.499369,108.576014,A21
260,Đa hương,Polyosma Sp,125,39.78,0.124323679,14.499546,108.57595,A21
261,Đa hương,Polyosma Sp,99,31.51,0.077983768,14.499334,108.575915,A21
262,Đa hương,Polyosma Sp,74.4,23.68,0.044043285,14.499688,108.575907,A21
263,Đa hương,Polyosma Sp,74,23.55,0.043570974,14.4994866,108.5758412,A21
264,Đa hương,Polyosma Sp,78,24.82,0.048408657,14.5000233,108.5758191,A21
265,Đa hương,Polyosma Sp,112.6,35.84,0.100881286,14.499494,108.5757929,A21
266,Đa hương,Polyosma Sp,86.4,27.5,0.059396563,14.4997186,108.5757858,A21
267,Đa hương,Polyosma Sp,42.5,13.53,0.014371817,14.4995382,108.5757843,A21
268,Đa hương,Polyosma Sp,93.5,29.76,0.069559596,14.4994353,108.5757812,A21
269,Đa hương,Polyosma Sp,105,33.42,0.087722788,14.4992829,108.5756876,A21
