No,Species,Nomenclature,C(cm),DBH(cm),S(m2),Latitude,Longitude,Code
221,Còng tía,Calophyllum saigonense,46.4,14.77,0.02,14.499739,108.575991,A20
222,Còng tía,Calophyllum saigonense,44.4,14.13,0.02,14.499739,108.575991,A20
223,Còng tía,Calophyllum saigonense,63,20.05,0.03,14.499528,108.575987,A20
224,Còng tía,Calophyllum saigonense,66.4,21.13,0.04,14.499424,108.575983,A20
225,Còng tía,Calophyllum saigonense,51.8,16.49,0.02,14.499364,108.575972,A20
226,Còng tía,Calophyllum saigonense,47.5,15.12,0.02,14.49966,108.575958,A20
227,Còng tía,Calophyllum saigonense,76.7,24.41,0.05,14.499345,108.575958,A20
228,Còng tía,Calophyllum saigonense,69,21.96,0.04,14.499477,108.575924,A20
229,Còng tía,Calophyllum saigonense,53.5,17.03,0.02,14.499855,108.575923,A20
230,Còng tía,Calophyllum saigonense,48.8,15.53,0.02,14.499766,108.57592,A20
231,Còng tía,Calophyllum saigonense,57,18.14,0.03,14.499355,108.575914,A20
232,Còng tía,Calophyllum saigonense,67,21.32,0.04,14.499352,108.575911,A20
233,Còng tía,Calophyllum saigonense,63,20.05,0.03,14.499794,108.575905,A20
234,Còng tía,Calophyllum saigonense,53.7,17.09,0.02,14.499693,108.575902,A20
235,Còng tía,Calophyllum saigonense,71.4,22.72,0.04,14.499957,108.575898,A20
236,Còng tía,Calophyllum saigonense,90.4,28.77,0.07,14.500015,108.5758952,A20
237,Còng tía,Calophyllum saigonense,43.5,13.84,0.02,14.5000758,108.5758935,A20
238,Còng tía,Calophyllum saigonense,59,18.78,0.03,14.499922,108.575884,A20
239,Còng tía,Calophyllum saigonense,44,14,0.02,14.49929,108.575883,A20
240,Còng tía,Calophyllum saigonense,53.5,17.03,0.02,14.49929,108.575883,A20
241,Còng tía,Calophyllum saigonense,41,13.05,0.01,14.49976,108.575879,A20
242,Còng tía,Calophyllum saigonense,75.5,24.03,0.05,14.4997553,108.5758645,A20
243,Còng tía,Calophyllum saigonense,55.4,17.63,0.02,14.499376,108.5758564,A20
244,Còng tía,Calophyllum saigonense,44.5,14.16,0.02,14.4993888,108.5758532,A20
245,Còng tía,Calophyllum saigonense,50,15.91,0.02,14.499352,108.5758489,A20
246,Còng tía,Calophyllum saigonense,55.7,17.73,0.02,14.5000061,108.5758439,A20
247,Còng tía,Calophyllum saigonense,68.2,21.71,0.04,14.4999738,108.5758327,A20
248,Còng tía,Calophyllum saigonense,43,13.69,0.01,14.4996898,108.5758309,A20
249,Còng tía,Calophyllum saigonense,96.4,30.68,0.07,14.4995613,108.5758284,A20
250,Còng tía,Calophyllum saigonense,90.5,28.8,0.07,14.49943,108.57582,A20
251,Còng tía,Calophyllum saigonense,54.5,17.35,0.02,14.4996958,108.5758176,A20
252,Còng tía,Calophyllum saigonense,51.6,16.42,0.02,14.4997657,108.5758048,A20
253,Còng tía,Calophyllum saigonense,61,19.41,0.03,14.4997657,108.5758046,A20
254,Còng tía,Calophyllum saigonense,44.5,14.16,0.02,14.499418,108.5757971,A20
255,Còng tía,Calophyllum saigonense,51.8,16.49,0.02,14.4996614,108.575784,A20
256,Còng tía,Calophyllum saigonense,75,23.87,0.04,14.4998867,108.5757819,A20
257,Còng tía,Calophyllum saigonense,66.5,21.16,0.04,14.4996815,108.5757771,A20
258,Còng tía,Calophyllum saigonense,56,17.82,0.02,14.4996519,108.5757589,A20
259,Còng tía,Calophyllum saigonense,71,22.6,0.04,14.500013,108.5757337,A20
260,Còng tía,Calophyllum saigonense,52.8,16.8,0.02,14.499975,108.5757252,A20
261,Còng tía,Calophyllum saigonense,53.5,17.03,0.02,14.5000226,108.5757173,A20
262,Còng tía,Calophyllum saigonense,72,22.92,0.04,14.4993785,108.5756979,A20
