Point	Longitude	Latitude	radius_m	gr	Lr	distance	d2x	d2y
S0548	108.576332	14.499273	16.0	0.7263137831578168	-3.5522315089410146	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	17.0	0.6835894429720624	-3.9446702666037208	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	18.0	0.6456122516958369	-3.807360269171168	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	19.0	0.40775510633421297	-4.271601697068306	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	20.0	0.4842091887718776	-4.754659380305689	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	21.0	0.3689212866833355	-5.010551864696787	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	22.0	0.3521521372886385	-5.770095542736506	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	23.0	0.252630881098371	-6.069204396929493	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	24.0	0.32280612584791823	-7.069204396929493	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	25.0	0.387367351017502	-7.177507810792797	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	26.0	0.22348116404855928	-7.961469714671825	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	27.0	0.3586734731643538	-8.536975629778258	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	28.0	0.4150364475187523	-8.917932241068527	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	29.0	0.3339373715668121	-9.318349890888157	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	30.0	0.4519285761870854	-9.928576406786632	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	31.0	0.4373502350197606	-9.985748165591229	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	32.0	0.18157844578945442	-10.620255516011127	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	33.0	0.11738404576287963	-11.43983253263086	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	34.0	0.22786314765735402	-12.260906913089666	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	35.0	0.3320291580150019	-12.732754788649704	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	36.0	0.32280612584791846	-13.216842835913788	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	37.0	0.26173469663344734	-13.712357538288614	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	38.0	0.10193877658355337	-14.38201986906579	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	39.0	0.14898744269903907	-15.38201986906579	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	40.0	0.33894643214031445	-15.894999968341565	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	41.0	0.37791936684634375	-16.260549427934873	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	42.0	0.5533819300250026	-16.64196768893427	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	43.0	0.49546986758052597	-16.44800235666149	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	44.0	0.30813312012755906	-17.013880977196738	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	45.0	0.43040816779722446	-17.445689847243422	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	46.0	0.42105146849728486	-17.614720538342336	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	47.0	0.24725575596861876	-18.073999962009875	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	48.0	0.36315689157890807	-18.807395247451716	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	49.0	0.47432736859285984	-18.89286461017995	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	50.0	0.34863061591575173	-19.256279722800212	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	51.0	0.0	-19.756349051941683	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	52.0	0.0	-52.0	102.27374485014575	100.46650179535223	19.141601361359527
