sourcecode,sourcelong,sourcelat,Area,N,N%,G%,IVI%,IVIcu,idx,index
A40,108.5756754,14.4998289,13386.634249231713,0.7470137611755487,0.1264222503160556,0.22861095311722296,0.1775166017166393,97.45450353491475,32,51
A71,108.576388,14.49978,13386.634249231713,0.7470137611755487,0.1264222503160556,0.20849714997882265,0.16745970014743913,97.62196323506218,64,52
A48,108.576421,14.500014,13386.634249231713,1.4940275223510975,0.2528445006321112,0.055541974972171886,0.15419323780214156,97.77615647286433,40,53
A53,108.5759292,14.5001153,13386.634249231713,0.7470137611755487,0.1264222503160556,0.16620892159370787,0.14631558595488176,97.92247205881921,46,54
A32,108.576122,14.499536,13386.634249231713,1.4940275223510975,0.2528445006321112,0.03721622184214284,0.14503036123712704,98.06750242005634,23,55
A82,108.576311,14.499464,13386.634249231713,0.7470137611755487,0.1264222503160556,0.11862129443707407,0.12252177237656484,98.1900241924329,75,56
A62,108.575997,14.49942,13386.634249231713,0.7470137611755487,0.1264222503160556,0.10106123677455872,0.11374174354530717,98.3037659359782,55,57
A4,108.5757849,14.4994115,13386.634249231713,0.7470137611755487,0.1264222503160556,0.07345348084997941,0.09993786558301751,98.40370380156122,31,58
A9,108.576313,14.499669,13386.634249231713,0.7470137611755487,0.1264222503160556,0.061806211716242704,0.09411423101614916,98.49781803257737,78,59
A60,108.576074,14.499329,13386.634249231713,0.7470137611755487,0.1264222503160556,0.05687748803339129,0.09164986917472345,98.58946790175209,53,60
A31,108.575984,14.499631,13386.634249231713,0.7470137611755487,0.1264222503160556,0.04390840416545612,0.08516532724075587,98.67463322899285,22,61
A6,108.576149,14.499633,13386.634249231713,0.7470137611755487,0.1264222503160556,0.040695104749991995,0.0835586775330238,98.75819190652587,52,62
A19,108.576074,14.49985,13386.634249231713,0.7470137611755487,0.1264222503160556,0.039923651063574914,0.08317295068981526,98.84136485721568,9,63
A13,108.576365,14.499577,13386.634249231713,0.7470137611755487,0.1264222503160556,0.03971917687436699,0.0830707135952113,98.92443557081089,3,64
A78,108.5760442,14.500112,13386.634249231713,0.7470137611755487,0.1264222503160556,0.0392610293549503,0.08284163983550295,99.0072772106464,71,65
A50,108.5757783,14.4996806,13386.634249231713,0.7470137611755487,0.1264222503160556,0.03910890410169893,0.08276557720887727,99.09004278785527,43,66
A64,108.57611,14.499218,13386.634249231713,0.7470137611755487,0.1264222503160556,0.035161161090547274,0.08079170570330144,99.17083449355857,57,67
A14,108.576372,14.499925,13386.634249231713,0.7470137611755487,0.1264222503160556,0.03364086005859313,0.08003155518732437,99.25086604874589,4,68
A85,108.576417,14.499298,13386.634249231713,0.7470137611755487,0.1264222503160556,0.03364086005859313,0.08003155518732437,99.33089760393321,77,69
A77,108.575755,14.4994028,13386.634249231713,0.7470137611755487,0.1264222503160556,0.03215415683949985,0.07928820357777773,99.41018580751098,70,70
A44,108.576426,14.499958,13386.634249231713,0.7470137611755487,0.1264222503160556,0.027682120614861673,0.07705218546545864,99.48723799297645,36,71
A41,108.5756124,14.499431,13386.634249231713,0.7470137611755487,0.1264222503160556,0.02502159380894191,0.07572192206249877,99.56295991503895,33,72
A79,108.5757211,14.5000555,13386.634249231713,0.7470137611755487,0.1264222503160556,0.024138076323866355,0.07528016331996099,99.6382400783589,72,73
A29,108.576363,14.499993,13386.634249231713,0.7470137611755487,0.1264222503160556,0.021545188083583973,0.07398371919981979,99.71222379755872,19,74
A67,108.575839,14.499292,13386.634249231713,0.7470137611755487,0.1264222503160556,0.020358765316934674,0.07339050781649514,99.78561430537522,60,75
A28,108.576361,14.499655,13386.634249231713,0.7470137611755487,0.1264222503160556,0.01920594036314624,0.07281409533960093,99.85842840071481,18,76
A56,108.576382,14.499428,13386.634249231713,0.7470137611755487,0.1264222503160556,0.016503760799973673,0.07146300555801464,99.92989140627283,48,77
A66,108.575702,14.5001089,13386.634249231713,0.7470137611755487,0.1264222503160556,0.013794937138066421,0.07010859372706102,99.99999999999989,59,78
